city,date,conditions
"Atlanta, GA",2018-11-14,"Rain, Overcast"
"Austin, TX",2019-01-31,"Rain, Overcast"
"Los Angeles, CA",2018-09-02,Overcast
"Portland, OR",2019-02-19,"Rain, Overcast"
"Denver, CO",2019-01-24,"Snow, Partially cloudy"
"Raleigh/Durham, NC",2018-05-15,Overcast
"Indianapolis, IN",2019-06-19,"Rain, Partially cloudy"
"Houston, TX",2019-11-06,Clear
"Nashville, TN",2019-07-16,"Rain, Partially cloudy"
"Raleigh/Durham, NC",2019-05-13,"Rain, Partially cloudy"
"Boise, ID",2019-11-25,Clear
"Grand Rapids, MI",2019-11-25,Partially cloudy
"Houston, TX",2019-06-16,"Rain, Partially cloudy"
"Medford, OR",2019-12-02,Partially cloudy
"Dallas/Fort Worth, TX",2019-01-07,Partially cloudy
"Charlotte, NC",2019-09-25,Partially cloudy
"Chicago, IL",2018-07-27,Partially cloudy
"Denver, CO",2019-06-17,"Rain, Partially cloudy"
"Boston, MA",2018-11-03,"Rain, Partially cloudy"
"Los Angeles, CA",2019-06-26,Partially cloudy
"Saginaw/Bay City/Midland, MI",2019-12-11,Partially cloudy
"San Diego, CA",2019-08-12,Partially cloudy
"San Francisco, CA",2018-04-04,Overcast
"Atlanta, GA",2018-05-18,"Rain, Partially cloudy"
"Fort Lauderdale, FL",2018-04-01,Partially cloudy
"Killeen, TX",2019-02-10,"Rain, Overcast"
"New York, NY",2018-01-15,Clear
"Denver, CO",2018-04-17,Partially cloudy
"Orlando, FL",2019-05-26,Clear
"Phoenix, AZ",2018-08-02,"Rain, Partially cloudy"
"Baltimore, MD",2018-05-30,"Rain, Overcast"
"Norfolk, VA",2019-09-24,Partially cloudy
"Miami, FL",2018-05-18,"Rain, Partially cloudy"
"San Francisco, CA",2019-02-17,"Rain, Partially cloudy"
"San Francisco, CA",2018-02-03,Clear
"Rapid City, SD",2019-10-30,Clear
"Newark, NJ",2019-05-18,"Rain, Partially cloudy"
"Atlanta, GA",2019-06-24,"Rain, Partially cloudy"
"St. Petersburg, FL",2018-02-22,Clear
"Baltimore, MD",2018-06-25,Partially cloudy
"Pittsburgh, PA",2019-05-14,"Rain, Partially cloudy"
"Atlanta, GA",2019-03-17,Partially cloudy
"Santa Ana, CA",2019-02-25,Clear
"Savannah, GA",2018-09-28,Partially cloudy
"Baltimore, MD",2018-07-21,"Rain, Overcast"
"Washington, DC",2018-06-14,Partially cloudy
"Atlanta, GA",2019-06-16,Partially cloudy
"Newark, NJ",2019-01-22,Clear
"Pittsburgh, PA",2018-06-23,"Rain, Overcast"
"Oklahoma City, OK",2019-01-04,"Snow, Partially cloudy"
"Minneapolis, MN",2019-05-23,Overcast
"Salt Lake City, UT",2019-04-21,"Rain, Partially cloudy"
"Washington, DC",2018-11-02,"Rain, Overcast"
"Moab, UT",2018-11-21,Clear
"Midland/Odessa, TX",2019-10-21,Clear
"New York, NY",2019-02-01,Clear
"Boston, MA",2019-09-16,Partially cloudy
"Denver, CO",2019-05-26,"Rain, Partially cloudy"
"Salt Lake City, UT",2019-11-03,Partially cloudy
"Fresno, CA",2019-05-22,"Rain, Overcast"
"Buffalo, NY",2018-05-13,Partially cloudy
"Detroit, MI",2018-02-07,"Snow, Partially cloudy"
"Omaha, NE",2018-04-13,"Rain, Overcast"
"Las Vegas, NV",2019-10-31,Clear
"Albuquerque, NM",2018-05-24,Partially cloudy
"Charlottesville, VA",2018-07-09,Clear
"Boston, MA",2018-01-21,Partially cloudy
"Denver, CO",2018-12-30,Partially cloudy
"Des Moines, IA",2018-09-27,Partially cloudy
"Aspen, CO",2019-12-19,Clear
"Chicago, IL",2019-09-05,Partially cloudy
"Charlotte, NC",2018-12-17,Clear
"Dallas, TX",2019-03-29,Partially cloudy
"Minneapolis, MN",2019-04-25,Partially cloudy
"Denver, CO",2019-06-06,Partially cloudy
"San Francisco, CA",2019-02-27,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2019-07-11,Partially cloudy
"Gillette, WY",2018-12-16,Snow
"Omaha, NE",2019-11-17,Partially cloudy
"Tulsa, OK",2018-10-25,"Rain, Overcast"
"Kona, HI",2019-06-02,"Rain, Partially cloudy"
"Minneapolis, MN",2018-09-24,"Rain, Partially cloudy"
"Phoenix, AZ",2018-08-20,Partially cloudy
"Atlanta, GA",2018-05-06,Partially cloudy
"Detroit, MI",2019-03-01,Partially cloudy
"Seattle, WA",2019-10-09,Clear
"Raleigh/Durham, NC",2018-05-18,"Rain, Overcast"
"Los Angeles, CA",2019-11-27,"Rain, Partially cloudy"
"Tampa, FL",2018-07-17,"Rain, Partially cloudy"
"Detroit, MI",2019-02-12,"Snow, Partially cloudy"
"Newark, NJ",2019-06-21,"Rain, Partially cloudy"
"Orlando, FL",2019-04-28,Clear
"Boston, MA",2018-03-09,Overcast
"Tucson, AZ",2018-05-15,Clear
"Salt Lake City, UT",2019-03-16,Clear
"Cincinnati, OH",2018-05-08,Clear
"Phoenix, AZ",2018-08-28,Partially cloudy
"San Francisco, CA",2019-09-12,Clear
"Los Angeles, CA",2019-03-15,Clear
"Watertown, NY",2019-01-17,Snow
"San Francisco, CA",2019-04-09,"Rain, Partially cloudy"
"Minneapolis, MN",2018-06-06,"Rain, Partially cloudy"
"Detroit, MI",2018-07-13,Clear
"Memphis, TN",2018-07-03,Partially cloudy
"Los Angeles, CA",2018-01-20,Clear
"Newark, NJ",2018-01-18,Snow
"Chicago, IL",2018-12-14,"Rain, Overcast"
"Chicago, IL",2018-12-18,Partially cloudy
"Atlanta, GA",2018-12-22,Partially cloudy
"Dallas/Fort Worth, TX",2019-07-13,Partially cloudy
"San Francisco, CA",2018-02-11,Partially cloudy
"Detroit, MI",2019-01-07,"Rain, Partially cloudy"
"Charlotte, NC",2019-01-10,Clear
"Charlottesville, VA",2019-06-18,Rain
"Phoenix, AZ",2018-07-16,Overcast
"El Paso, TX",2018-08-12,Partially cloudy
"New York, NY",2018-06-20,Clear
"Orlando, FL",2019-10-11,Clear
"Dallas/Fort Worth, TX",2019-11-02,Clear
"Chicago, IL",2019-07-21,"Rain, Partially cloudy"
"Austin, TX",2018-12-15,Clear
"Dallas, TX",2018-03-05,Partially cloudy
"Dallas, TX",2018-02-07,Partially cloudy
"Kona, HI",2018-11-22,"Rain, Partially cloudy"
"Bristol/Johnson City/Kingsport, TN",2018-10-26,"Rain, Overcast"
"Austin, TX",2018-01-13,Clear
"Philadelphia, PA",2018-02-21,"Rain, Partially cloudy"
"Tulsa, OK",2019-07-07,Partially cloudy
"Los Angeles, CA",2018-03-20,Partially cloudy
"Minneapolis, MN",2019-08-01,Clear
"Washington, DC",2019-12-01,"Rain, Overcast"
"Peoria, IL",2018-09-26,Clear
"Minneapolis, MN",2018-03-23,Partially cloudy
"San Diego, CA",2018-07-14,Partially cloudy
"Shreveport, LA",2019-04-10,Clear
"Oakland, CA",2018-09-05,Partially cloudy
"Chicago, IL",2018-06-25,Partially cloudy
"Baltimore, MD",2018-05-01,Clear
"Los Angeles, CA",2019-12-28,Clear
"San Jose, CA",2019-07-22,Clear
"Sarasota/Bradenton, FL",2019-06-16,Rain
"Atlanta, GA",2019-08-16,Clear
"Greenville, NC",2019-09-30,Partially cloudy
"Seattle, WA",2019-08-27,Clear
"Dallas/Fort Worth, TX",2018-09-19,Clear
"Fort Lauderdale, FL",2018-08-03,"Rain, Partially cloudy"
"Seattle, WA",2019-02-19,"Rain, Overcast"
"Atlanta, GA",2019-04-10,Clear
"St. Louis, MO",2019-09-01,Partially cloudy
"Bozeman, MT",2018-12-15,Clear
"San Diego, CA",2019-11-18,Partially cloudy
"Las Vegas, NV",2018-10-12,Clear
"Boise, ID",2018-05-07,Clear
"Newark, NJ",2018-08-23,"Rain, Partially cloudy"
"Baltimore, MD",2018-03-24,"Snow, Partially cloudy"
"Denver, CO",2019-10-11,Snow
"New York, NY",2019-02-18,"Rain, Partially cloudy"
"Seattle, WA",2018-04-17,"Rain, Overcast"
"Santa Ana, CA",2019-04-11,Partially cloudy
"St. Louis, MO",2019-07-03,"Rain, Partially cloudy"
"Denver, CO",2018-09-12,Partially cloudy
"Kansas City, MO",2018-04-17,Clear
"Minneapolis, MN",2018-08-26,Partially cloudy
"Philadelphia, PA",2019-11-10,Partially cloudy
"Lafayette, LA",2018-06-27,"Rain, Partially cloudy"
"Washington, DC",2019-01-30,Snow
"State College, PA",2019-07-21,"Rain, Partially cloudy"
"Phoenix, AZ",2019-03-09,Partially cloudy
"Minneapolis, MN",2018-07-06,Clear
"New York, NY",2019-08-01,Clear
"Washington, DC",2019-11-28,Partially cloudy
"Honolulu, HI",2019-08-12,Partially cloudy
"Tucson, AZ",2018-04-09,Clear
"Houston, TX",2018-05-12,Partially cloudy
"Des Moines, IA",2018-02-07,"Snow, Overcast"
"Los Angeles, CA",2019-01-04,Clear
"Jackson, WY",2018-01-07,"Snow, Partially cloudy"
"New Orleans, LA",2018-01-04,Clear
"San Antonio, TX",2019-10-09,Partially cloudy
"Albany, NY",2018-03-27,Partially cloudy
"Baltimore, MD",2019-12-30,"Rain, Partially cloudy"
"Houston, TX",2018-12-17,Clear
"Detroit, MI",2019-05-09,"Rain, Partially cloudy"
"Cincinnati, OH",2018-11-21,Partially cloudy
"Phoenix, AZ",2019-06-30,Partially cloudy
"Dallas, TX",2018-06-24,Partially cloudy
"Portland, OR",2019-05-17,Overcast
"Honolulu, HI",2018-06-17,Partially cloudy
"Raleigh/Durham, NC",2018-06-05,Partially cloudy
"Seattle, WA",2018-06-19,Partially cloudy
"New York, NY",2019-05-20,Rain
"Salt Lake City, UT",2018-12-01,"Snow, Overcast"
"Denver, CO",2018-09-16,Clear
"Houston, TX",2019-06-19,Clear
"Atlanta, GA",2019-09-01,Partially cloudy
"Valparaiso, FL",2018-06-06,Partially cloudy
"Phoenix, AZ",2019-02-03,"Rain, Partially cloudy"
"Boise, ID",2018-02-11,Partially cloudy
"Kahului, HI",2019-01-28,Partially cloudy
"Charleston, SC",2018-08-20,Clear
"Los Angeles, CA",2019-09-03,Clear
"Chicago, IL",2018-05-09,"Rain, Overcast"
"Aspen, CO",2018-07-28,Rain
"Indianapolis, IN",2019-05-29,"Rain, Partially cloudy"
