city,date,conditions
"San Antonio, TX",2019-06-27,"Rain, Partially cloudy"
"Kona, HI",2018-02-16,"Rain, Partially cloudy"
"Pittsburgh, PA",2019-05-06,Clear
"Newark, NJ",2019-05-14,"Rain, Overcast"
"Dallas/Fort Worth, TX",2019-06-15,Partially cloudy
"Chicago, IL",2019-02-03,Overcast
"Fort Wayne, IN",2019-11-23,"Snow, Partially cloudy"
"Houston, TX",2018-06-02,Partially cloudy
"North Platte, NE",2018-11-16,Clear
"Phoenix, AZ",2018-12-23,Partially cloudy
"Charlotte, NC",2018-11-10,Partially cloudy
"Santa Ana, CA",2018-10-20,Clear
"Atlanta, GA",2019-02-06,"Rain, Partially cloudy"
"Savannah, GA",2019-10-03,Clear
"Detroit, MI",2018-01-04,"Snow, Partially cloudy"
"Denver, CO",2018-04-07,Overcast
"Fort Lauderdale, FL",2019-10-23,Partially cloudy
"Las Vegas, NV",2018-09-13,Clear
"Denver, CO",2018-05-09,Partially cloudy
"Tampa, FL",2019-11-13,Partially cloudy
"Atlanta, GA",2019-04-11,"Rain, Partially cloudy"
"Denver, CO",2018-04-30,Partially cloudy
"Phoenix, AZ",2019-11-12,Clear
"Omaha, NE",2019-02-09,"Snow, Partially cloudy"
"Washington, DC",2019-05-30,"Rain, Partially cloudy"
"Milwaukee, WI",2018-07-13,"Rain, Partially cloudy"
"Fort Myers, FL",2019-02-01,Partially cloudy
"Tampa, FL",2019-07-06,"Rain, Partially cloudy"
"El Paso, TX",2018-06-21,Clear
"Charlotte, NC",2018-11-07,"Rain, Partially cloudy"
"Los Angeles, CA",2019-08-03,Clear
"Springfield, MO",2019-02-13,Clear
"Minneapolis, MN",2018-09-10,Clear
"Phoenix, AZ",2018-04-18,Clear
"Charleston, SC",2018-04-26,Clear
"Dallas, TX",2019-01-16,Overcast
"Charlottesville, VA",2019-09-20,Clear
"New York, NY",2019-01-17,Snow
"Tampa, FL",2018-04-21,Partially cloudy
"Boston, MA",2018-05-14,Partially cloudy
"Orlando, FL",2019-10-23,Partially cloudy
"Charlotte, NC",2018-06-30,"Rain, Partially cloudy"
"Fort Myers, FL",2019-05-27,Clear
"Orlando, FL",2018-03-27,Clear
"Las Vegas, NV",2019-11-11,Clear
"Sioux Falls, SD",2019-05-02,Partially cloudy
"Minneapolis, MN",2019-04-22,"Rain, Overcast"
"Phoenix, AZ",2019-03-07,Partially cloudy
"Salt Lake City, UT",2018-08-26,Partially cloudy
"Minneapolis, MN",2019-10-29,Clear
"Roanoke, VA",2018-08-13,"Rain, Partially cloudy"
"Las Vegas, NV",2019-04-19,Clear
"Houston, TX",2019-05-15,Clear
"Milwaukee, WI",2018-11-07,Overcast
"Houston, TX",2018-02-07,"Rain, Overcast"
"Mission/McAllen/Edinburg, TX",2019-11-02,Clear
"Atlanta, GA",2019-09-16,Clear
"Fort Lauderdale, FL",2019-04-23,Partially cloudy
"New York, NY",2018-03-19,Clear
"Los Angeles, CA",2018-04-29,Partially cloudy
"St. Petersburg, FL",2019-04-12,Clear
"Fort Lauderdale, FL",2018-06-02,"Rain, Partially cloudy"
"San Francisco, CA",2019-11-19,Partially cloudy
"Seattle, WA",2018-08-04,Clear
"Dallas, TX",2018-01-04,Partially cloudy
"Denver, CO",2019-10-23,"Snow, Partially cloudy"
"Atlanta, GA",2018-01-21,Clear
"Detroit, MI",2019-10-03,"Rain, Partially cloudy"
"Knoxville, TN",2019-06-17,"Rain, Partially cloudy"
"Oakland, CA",2018-08-17,Partially cloudy
"Raleigh/Durham, NC",2019-02-06,Partially cloudy
"Jacksonville, FL",2018-06-01,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2019-10-18,Clear
"Sacramento, CA",2018-12-11,Clear
"Newark, NJ",2018-04-19,"Rain, Overcast"
"Philadelphia, PA",2019-04-02,Partially cloudy
"Wilmington, NC",2018-03-18,Partially cloudy
"Grand Rapids, MI",2018-08-23,Clear
"New Orleans, LA",2018-08-05,Partially cloudy
"Los Angeles, CA",2018-01-08,"Rain, Overcast"
"Miami, FL",2018-09-14,"Rain, Partially cloudy"
"Columbia, SC",2018-01-31,Clear
"Miami, FL",2018-01-21,Partially cloudy
"Denver, CO",2019-08-31,Partially cloudy
"Traverse City, MI",2019-04-04,Partially cloudy
"New Orleans, LA",2018-03-09,Partially cloudy
"Sacramento, CA",2019-06-01,Clear
"Boston, MA",2019-02-21,"Rain, Partially cloudy"
"Denver, CO",2019-06-03,"Rain, Partially cloudy"
"Fort Myers, FL",2018-09-24,"Rain, Partially cloudy"
"Nashville, TN",2019-04-13,"Rain, Overcast"
"Fort Wayne, IN",2018-12-03,"Rain, Overcast"
"Dallas/Fort Worth, TX",2019-07-02,Partially cloudy
"Dallas/Fort Worth, TX",2018-03-01,"Rain, Overcast"
"Los Angeles, CA",2019-03-08,Partially cloudy
"Fort Lauderdale, FL",2019-03-26,"Rain, Partially cloudy"
"Salt Lake City, UT",2018-03-12,Partially cloudy
"Austin, TX",2018-09-24,Overcast
"San Luis Obispo, CA",2018-11-15,Clear
"Salt Lake City, UT",2019-05-29,"Rain, Partially cloudy"
"Atlanta, GA",2019-06-26,Clear
"Denver, CO",2018-07-10,Clear
"Casper, WY",2019-03-16,Clear
"Boston, MA",2019-10-03,Partially cloudy
"Seattle, WA",2018-10-25,"Rain, Overcast"
"Kahului, HI",2019-02-27,"Rain, Partially cloudy"
"Houston, TX",2018-11-10,Partially cloudy
"Tampa, FL",2018-12-13,Overcast
"Denver, CO",2018-10-05,"Rain, Partially cloudy"
"Nashville, TN",2018-03-26,Overcast
"Los Angeles, CA",2018-12-21,Clear
"Honolulu, HI",2018-07-07,"Rain, Partially cloudy"
"Phoenix, AZ",2018-01-28,Partially cloudy
"Oakland, CA",2018-06-08,Clear
"Albuquerque, NM",2019-08-06,"Rain, Partially cloudy"
"Tucson, AZ",2018-03-24,Clear
"Minneapolis, MN",2019-12-23,Partially cloudy
"Washington, DC",2018-02-09,Overcast
"Charlotte, NC",2019-01-04,"Rain, Overcast"
"Milwaukee, WI",2018-02-23,"Rain, Partially cloudy"
"Cleveland, OH",2018-06-10,"Rain, Overcast"
"Nashville, TN",2019-04-21,Clear
"Pittsburgh, PA",2019-11-19,Partially cloudy
"Kansas City, MO",2018-02-16,Partially cloudy
"Philadelphia, PA",2019-02-24,"Rain, Overcast"
"Miami, FL",2019-02-02,"Rain, Partially cloudy"
"Jacksonville, FL",2018-12-23,Clear
"San Francisco, CA",2019-08-07,Partially cloudy
"Raleigh/Durham, NC",2019-09-16,Partially cloudy
"Fort Lauderdale, FL",2018-12-20,"Rain, Partially cloudy"
"Atlanta, GA",2018-07-13,"Rain, Partially cloudy"
"Denver, CO",2019-10-17,Partially cloudy
"Dallas/Fort Worth, TX",2019-06-27,Partially cloudy
"Dallas/Fort Worth, TX",2019-11-12,Partially cloudy
"Los Angeles, CA",2019-07-02,Clear
"Fort Myers, FL",2018-03-23,Clear
"Los Angeles, CA",2018-03-01,Clear
"Austin, TX",2018-10-16,"Rain, Overcast"
"Raleigh/Durham, NC",2018-09-14,"Rain, Overcast"
"Minneapolis, MN",2019-08-28,Clear
"Wilmington, NC",2018-05-11,Clear
"San Antonio, TX",2019-08-09,Partially cloudy
"San Diego, CA",2019-01-19,Clear
"New York, NY",2018-06-21,"Rain, Partially cloudy"
"Los Angeles, CA",2018-02-15,Clear
"Seattle, WA",2018-04-07,"Rain, Overcast"
"Dallas, TX",2019-04-01,Partially cloudy
"Dallas/Fort Worth, TX",2018-04-18,Partially cloudy
"Philadelphia, PA",2019-05-07,Partially cloudy
"Nashville, TN",2019-08-02,"Rain, Partially cloudy"
"Atlanta, GA",2018-10-03,Clear
"Minneapolis, MN",2018-06-04,Clear
"Knoxville, TN",2018-12-27,"Rain, Overcast"
"Milwaukee, WI",2019-01-04,Snow
"Houston, TX",2019-08-25,"Rain, Partially cloudy"
"Mission/McAllen/Edinburg, TX",2019-05-31,Partially cloudy
"Miami, FL",2018-11-10,Partially cloudy
"Orlando, FL",2018-12-20,"Rain, Overcast"
"St. George, UT",2018-11-13,Clear
"Richmond, VA",2018-12-30,Partially cloudy
"New Orleans, LA",2019-09-22,Partially cloudy
"Seattle, WA",2018-05-01,"Rain, Overcast"
"Dallas/Fort Worth, TX",2019-10-24,"Rain, Partially cloudy"
"Kansas City, MO",2018-05-01,"Rain, Partially cloudy"
"Atlanta, GA",2018-11-07,"Rain, Partially cloudy"
"Las Vegas, NV",2018-07-18,Clear
"Raleigh/Durham, NC",2019-06-26,Partially cloudy
"Omaha, NE",2019-12-12,"Snow, Partially cloudy"
"St. Louis, MO",2018-02-23,"Rain, Overcast"
"Chicago, IL",2019-06-24,"Rain, Partially cloudy"
"Chicago, IL",2019-03-17,Partially cloudy
"Washington, DC",2019-08-02,"Rain, Partially cloudy"
"Greer, SC",2019-01-11,Clear
"Newark, NJ",2018-10-08,Overcast
"Allentown/Bethlehem/Easton, PA",2018-03-01,"Rain, Partially cloudy"
"Los Angeles, CA",2019-06-27,Partially cloudy
"Cleveland, OH",2019-04-23,"Rain, Partially cloudy"
"Los Angeles, CA",2019-10-28,Clear
"Midland/Odessa, TX",2018-03-25,Clear
"Baton Rouge, LA",2019-05-22,Partially cloudy
"New York, NY",2018-07-26,"Rain, Partially cloudy"
"Tampa, FL",2018-12-16,Partially cloudy
"Philadelphia, PA",2019-08-21,"Rain, Partially cloudy"
"Medford, OR",2018-02-26,"Snow, Partially cloudy"
"Denver, CO",2018-02-08,Overcast
"Fort Lauderdale, FL",2019-05-16,"Rain, Partially cloudy"
"Portland, OR",2018-09-25,Clear
"Denver, CO",2018-07-28,Partially cloudy
"Phoenix, AZ",2018-11-05,Partially cloudy
"Boston, MA",2019-09-06,Partially cloudy
"Los Angeles, CA",2018-12-05,"Rain, Overcast"
"Grand Rapids, MI",2018-07-13,"Rain, Partially cloudy"
"Las Vegas, NV",2018-09-06,Clear
"Washington, DC",2018-08-15,Partially cloudy
"Seattle, WA",2019-10-23,Partially cloudy
"Cleveland, OH",2019-12-17,"Snow, Overcast"
"Denver, CO",2019-03-25,Partially cloudy
"Portland, OR",2018-06-07,Overcast
"Boise, ID",2018-01-13,Clear
"Sioux Falls, SD",2019-05-30,Partially cloudy
"Las Vegas, NV",2018-02-03,Clear
"Honolulu, HI",2018-05-21,"Rain, Partially cloudy"
"Kahului, HI",2018-04-13,Partially cloudy
"Seattle, WA",2019-12-30,"Rain, Overcast"
