city,date,conditions
"Seattle, WA",2018-06-08,"Rain, Overcast"
"Orlando, FL",2018-11-03,Partially cloudy
"Seattle, WA",2019-09-10,Partially cloudy
"Charlotte, NC",2018-04-02,Partially cloudy
"Baltimore, MD",2019-09-17,Partially cloudy
"Las Vegas, NV",2019-01-20,Partially cloudy
"Houston, TX",2019-11-27,"Rain, Partially cloudy"
"Chicago, IL",2019-11-09,Partially cloudy
"Pasco/Kennewick/Richland, WA",2018-04-18,Clear
"Oakland, CA",2018-07-24,Partially cloudy
"San Francisco, CA",2018-11-07,Clear
"Seattle, WA",2018-10-30,"Rain, Overcast"
"Austin, TX",2018-04-26,Partially cloudy
"Richmond, VA",2019-08-18,Partially cloudy
"Valparaiso, FL",2019-08-02,"Rain, Partially cloudy"
"Houston, TX",2018-01-13,Clear
"Philadelphia, PA",2019-05-12,"Rain, Overcast"
"Portland, OR",2019-09-08,"Rain, Overcast"
"Atlanta, GA",2019-02-14,Partially cloudy
"New York, NY",2019-07-06,"Rain, Partially cloudy"
"Salt Lake City, UT",2019-07-22,Partially cloudy
"Nashville, TN",2018-02-23,Partially cloudy
"Atlanta, GA",2018-01-25,Clear
"Washington, DC",2019-07-11,"Rain, Partially cloudy"
"Atlanta, GA",2019-05-16,Partially cloudy
"Denver, CO",2019-09-08,"Rain, Partially cloudy"
"Denver, CO",2019-08-23,"Rain, Partially cloudy"
"Orlando, FL",2019-12-22,"Rain, Overcast"
"Las Vegas, NV",2019-02-11,Clear
"Providence, RI",2019-07-20,Partially cloudy
"Philadelphia, PA",2019-11-01,Rain
"Washington, DC",2019-12-28,Partially cloudy
"New Orleans, LA",2018-09-04,"Rain, Overcast"
"Atlanta, GA",2019-11-27,"Rain, Partially cloudy"
"Chicago, IL",2018-06-26,"Rain, Overcast"
"St. Louis, MO",2019-09-24,Clear
"Indianapolis, IN",2019-07-28,Partially cloudy
"Oakland, CA",2019-11-04,Clear
"Denver, CO",2018-04-14,Partially cloudy
"Bismarck/Mandan, ND",2019-10-13,"Snow, Partially cloudy"
"Des Moines, IA",2019-01-10,"Snow, Partially cloudy"
"Minneapolis, MN",2019-07-15,"Rain, Partially cloudy"
"Atlanta, GA",2019-03-15,"Rain, Partially cloudy"
"Austin, TX",2019-04-15,Clear
"Columbia, MO",2018-03-15,Clear
"Las Vegas, NV",2019-06-24,Clear
"Miami, FL",2019-11-27,Partially cloudy
"Raleigh/Durham, NC",2019-03-01,"Rain, Overcast"
"Detroit, MI",2018-03-01,"Snow, Overcast"
"Chicago, IL",2018-04-20,Partially cloudy
"Detroit, MI",2019-06-04,Partially cloudy
"Kona, HI",2019-01-28,Rain
"Oakland, CA",2019-05-19,"Rain, Partially cloudy"
"Sacramento, CA",2018-12-10,Partially cloudy
"Fort Myers, FL",2018-03-22,Clear
"Chattanooga, TN",2019-09-15,Partially cloudy
"San Antonio, TX",2018-11-29,Partially cloudy
"Gunnison, CO",2019-01-11,"Snow, Overcast"
"Dallas/Fort Worth, TX",2019-01-06,Partially cloudy
"Raleigh/Durham, NC",2018-10-26,"Rain, Overcast"
"Rochester, NY",2019-09-18,Clear
"Denver, CO",2019-12-22,Partially cloudy
"Pittsburgh, PA",2018-02-09,Partially cloudy
"Fort Lauderdale, FL",2018-03-25,Partially cloudy
"Honolulu, HI",2019-06-07,Partially cloudy
"Washington, DC",2019-11-02,Clear
"Atlanta, GA",2018-05-20,"Rain, Partially cloudy"
"New Orleans, LA",2019-05-09,"Rain, Overcast"
"Charlotte, NC",2019-05-31,Partially cloudy
"San Jose, CA",2018-05-15,Overcast
"San Juan, PR",2018-04-02,Partially cloudy
"Philadelphia, PA",2018-07-21,"Rain, Overcast"
"San Francisco, CA",2019-03-22,"Rain, Partially cloudy"
"Charlotte, NC",2018-09-18,Partially cloudy
"San Francisco, CA",2019-12-14,"Rain, Partially cloudy"
"Syracuse, NY",2018-10-08,Overcast
"Houston, TX",2018-09-10,"Rain, Partially cloudy"
"Boston, MA",2019-09-23,Partially cloudy
"Dallas, TX",2018-07-01,Partially cloudy
"Myrtle Beach, SC",2019-09-04,"Rain, Partially cloudy"
"Hilo, HI",2018-02-27,"Rain, Overcast"
"Oklahoma City, OK",2018-09-15,"Rain, Partially cloudy"
"Miami, FL",2019-11-24,"Rain, Partially cloudy"
"Lihue, HI",2019-12-08,Clear
"Washington, DC",2018-09-19,Partially cloudy
"Charlotte, NC",2018-01-19,Clear
"Atlanta, GA",2019-01-17,"Rain, Partially cloudy"
"Denver, CO",2018-07-22,"Rain, Overcast"
"Philadelphia, PA",2019-08-20,Partially cloudy
"Los Angeles, CA",2019-12-09,Clear
"St. Louis, MO",2018-06-28,"Rain, Partially cloudy"
"Charlotte, NC",2019-12-12,Partially cloudy
"Norfolk, VA",2019-05-07,Clear
"Austin, TX",2018-03-12,Clear
"Kahului, HI",2018-09-08,Partially cloudy
"Los Angeles, CA",2018-08-22,Partially cloudy
"Tampa, FL",2019-11-08,Partially cloudy
"Washington, DC",2018-04-02,"Rain, Overcast"
"Baltimore, MD",2018-02-01,Overcast
"Nashville, TN",2019-06-12,Partially cloudy
"San Juan, PR",2018-08-11,Partially cloudy
"Champaign/Urbana, IL",2018-08-23,Clear
"Colorado Springs, CO",2019-06-20,Partially cloudy
"Seattle, WA",2019-06-21,Partially cloudy
"Dallas/Fort Worth, TX",2019-12-16,Overcast
"Washington, DC",2018-05-28,"Rain, Overcast"
"Lafayette, LA",2019-12-18,Clear
"Atlanta, GA",2019-09-24,Partially cloudy
"Minneapolis, MN",2019-07-01,"Rain, Partially cloudy"
"San Francisco, CA",2019-01-04,Partially cloudy
"Chicago, IL",2018-09-16,Clear
"Chicago, IL",2019-06-10,Partially cloudy
"Anchorage, AK",2018-05-17,"Rain, Overcast"
"Austin, TX",2018-07-07,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2019-09-05,Clear
"Chicago, IL",2019-05-17,"Rain, Overcast"
"Milwaukee, WI",2018-01-19,Partially cloudy
"Newark, NJ",2018-02-24,"Rain, Overcast"
"Greensboro/High Point, NC",2018-09-19,Clear
"Las Vegas, NV",2018-12-22,Clear
"Minneapolis, MN",2019-06-25,"Rain, Partially cloudy"
"Sacramento, CA",2018-05-18,Clear
"Atlanta, GA",2018-09-10,"Rain, Partially cloudy"
"Fort Lauderdale, FL",2019-09-22,Partially cloudy
"San Francisco, CA",2018-05-28,Clear
"Killeen, TX",2019-09-30,Partially cloudy
"Washington, DC",2018-04-21,Partially cloudy
"Nashville, TN",2018-08-20,"Rain, Overcast"
"Phoenix, AZ",2018-05-09,Partially cloudy
"Pittsburgh, PA",2019-08-02,"Rain, Partially cloudy"
"Denver, CO",2018-03-25,Partially cloudy
"Phoenix, AZ",2018-04-30,Partially cloudy
"Cleveland, OH",2019-05-30,"Rain, Partially cloudy"
"Kansas City, MO",2018-07-12,Clear
"Boston, MA",2019-12-26,Partially cloudy
"Atlanta, GA",2019-04-22,Clear
"Marquette, MI",2019-10-01,Rain
