city,date,conditions
"Moline, IL",2018-06-13,Clear
"Seattle, WA",2018-04-13,"Rain, Overcast"
"White Plains, NY",2019-10-24,Clear
"Kansas City, MO",2018-04-13,"Rain, Partially cloudy"
"Juneau, AK",2018-03-12,"Rain, Overcast"
"Fort Lauderdale, FL",2018-12-23,Clear
"Everett, WA",2019-10-03,Partially cloudy
"Memphis, TN",2019-08-25,"Rain, Partially cloudy"
"New Orleans, LA",2019-11-07,"Rain, Overcast"
"New York, NY",2018-11-28,"Rain, Partially cloudy"
"Denver, CO",2019-07-31,"Rain, Partially cloudy"
"Washington, DC",2019-03-11,Partially cloudy
"Cape Girardeau, MO",2019-08-25,Partially cloudy
"Rhinelander, WI",2019-06-18,"Rain, Partially cloudy"
"Corpus Christi, TX",2018-08-28,Partially cloudy
"Los Angeles, CA",2018-04-01,Partially cloudy
"Philadelphia, PA",2019-12-24,Partially cloudy
"Dallas/Fort Worth, TX",2018-11-22,Partially cloudy
"Boston, MA",2019-08-06,Partially cloudy
"Orlando, FL",2018-03-12,"Rain, Partially cloudy"
"Boston, MA",2018-11-30,Partially cloudy
"Chicago, IL",2019-04-13,Partially cloudy
"Seattle, WA",2019-11-17,"Rain, Overcast"
"New York, NY",2019-06-28,Rain
"Atlanta, GA",2018-04-27,"Rain, Partially cloudy"
"Houston, TX",2019-12-29,"Rain, Partially cloudy"
"Kahului, HI",2019-02-16,"Rain, Partially cloudy"
"Fort Wayne, IN",2019-04-12,"Rain, Partially cloudy"
"Salt Lake City, UT",2019-02-05,"Snow, Partially cloudy"
"Portland, OR",2018-03-01,"Rain, Overcast"
"Honolulu, HI",2019-02-05,Partially cloudy
"Cleveland, OH",2018-04-16,"Rain, Overcast"
"Santa Fe, NM",2018-08-05,Clear
"Portland, OR",2018-02-15,"Rain, Overcast"
"Philadelphia, PA",2019-09-25,Clear
"Las Vegas, NV",2018-03-20,Partially cloudy
"Norfolk, VA",2018-05-06,"Rain, Overcast"
"Omaha, NE",2018-04-07,Partially cloudy
"Orlando, FL",2018-07-07,"Rain, Partially cloudy"
"Charlotte, NC",2018-10-30,Clear
"Fort Lauderdale, FL",2019-04-12,Clear
"Raleigh/Durham, NC",2018-11-04,"Rain, Overcast"
"Oklahoma City, OK",2018-04-19,Clear
"Minneapolis, MN",2018-03-24,Partially cloudy
"Fort Lauderdale, FL",2019-04-16,Partially cloudy
"New York, NY",2018-12-31,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2019-07-08,Partially cloudy
"Boston, MA",2019-05-13,"Rain, Partially cloudy"
"Miami, FL",2018-07-20,"Rain, Partially cloudy"
"Miami, FL",2018-10-29,Clear
"San Antonio, TX",2018-01-15,Partially cloudy
"Detroit, MI",2018-06-19,"Rain, Partially cloudy"
"Atlanta, GA",2018-05-31,Partially cloudy
"Charleston, SC",2019-07-08,Partially cloudy
"Dallas/Fort Worth, TX",2018-07-18,Partially cloudy
"Milwaukee, WI",2018-06-08,"Rain, Overcast"
"Seattle, WA",2019-08-03,Clear
"San Jose, CA",2019-12-22,"Rain, Partially cloudy"
"Austin, TX",2018-12-10,Clear
"Harrisburg, PA",2019-08-21,"Rain, Partially cloudy"
"Kansas City, MO",2019-10-03,Partially cloudy
"Atlanta, GA",2018-11-09,"Rain, Overcast"
"Chicago, IL",2018-03-19,Overcast
"Kansas City, MO",2019-08-03,Partially cloudy
"Dallas, TX",2018-09-05,"Rain, Overcast"
"Washington, DC",2019-03-30,Overcast
"Kansas City, MO",2019-04-01,Clear
"Denver, CO",2019-09-30,Partially cloudy
"New York, NY",2019-03-23,Clear
"Houston, TX",2019-05-07,"Rain, Overcast"
"Nashville, TN",2018-11-28,Partially cloudy
"Washington, DC",2019-08-14,Partially cloudy
"Salt Lake City, UT",2019-02-13,"Rain, Overcast"
"Las Vegas, NV",2018-09-10,Clear
"Atlanta, GA",2019-10-26,"Rain, Overcast"
"Raleigh/Durham, NC",2018-11-21,Clear
"Washington, DC",2018-08-17,Partially cloudy
"Columbus, OH",2018-12-20,"Rain, Overcast"
"Denver, CO",2018-12-09,Partially cloudy
"Washington, DC",2019-03-12,Clear
"Lafayette, LA",2019-09-22,Clear
"Greensboro/High Point, NC",2018-06-27,Overcast
"Boston, MA",2018-06-19,"Rain, Partially cloudy"
"Phoenix, AZ",2018-08-21,Overcast
"New York, NY",2018-03-24,Snow
"San Francisco, CA",2018-06-25,Partially cloudy
"Houston, TX",2018-08-17,Partially cloudy
"Chicago, IL",2019-08-02,Partially cloudy
"Newark, NJ",2018-07-14,Partially cloudy
"Oakland, CA",2018-04-29,Partially cloudy
"Phoenix, AZ",2019-08-29,Partially cloudy
"Chicago, IL",2019-11-30,"Rain, Overcast"
"Martha's Vineyard, MA",2019-06-26,"Rain, Partially cloudy"
"Denver, CO",2018-04-18,Partially cloudy
"Dallas/Fort Worth, TX",2018-11-12,"Rain, Overcast"
"Charlotte, NC",2019-09-29,Partially cloudy
"Baltimore, MD",2018-06-04,Partially cloudy
"Charleston, SC",2019-05-17,Clear
"Seattle, WA",2018-04-29,"Rain, Overcast"
"Cleveland, OH",2018-03-01,"Snow, Overcast"
"Raleigh/Durham, NC",2018-07-20,Overcast
"Seattle, WA",2018-04-16,"Rain, Overcast"
"Newark, NJ",2019-10-25,Partially cloudy
"Charleston/Dunbar, WV",2019-04-29,Partially cloudy
"Las Vegas, NV",2018-06-28,Clear
"Baltimore, MD",2018-07-29,Partially cloudy
"Newport News/Williamsburg, VA",2018-07-13,Partially cloudy
"Lubbock, TX",2019-06-27,Partially cloudy
"Greer, SC",2018-09-03,Partially cloudy
"Fort Myers, FL",2018-05-18,Clear
"Fort Lauderdale, FL",2019-10-31,"Rain, Partially cloudy"
"Kalispell, MT",2018-05-15,Clear
"Bend/Redmond, OR",2019-09-12,Clear
"Mission/McAllen/Edinburg, TX",2018-09-20,Clear
"Omaha, NE",2019-06-03,"Rain, Partially cloudy"
"Seattle, WA",2018-01-08,"Rain, Overcast"
"White Plains, NY",2018-12-14,Overcast
"Newark, NJ",2019-04-03,Partially cloudy
"San Juan, PR",2018-11-18,Partially cloudy
"Grand Rapids, MI",2019-09-05,Partially cloudy
"Washington, DC",2018-06-08,"Rain, Partially cloudy"
"Charleston, SC",2019-03-05,"Rain, Partially cloudy"
"Atlanta, GA",2018-08-17,"Rain, Partially cloudy"
"Manchester, NH",2019-01-05,"Rain, Overcast"
"Dallas/Fort Worth, TX",2018-04-06,"Rain, Overcast"
"Chicago, IL",2018-09-01,"Rain, Overcast"
"Boston, MA",2018-08-29,Partially cloudy
"Boise, ID",2019-05-12,Clear
"Los Angeles, CA",2018-03-29,Clear
"San Jose, CA",2018-12-15,Partially cloudy
"Salt Lake City, UT",2019-03-04,Overcast
"El Paso, TX",2018-10-26,Clear
"Burbank, CA",2019-06-17,Partially cloudy
"Washington, DC",2019-10-19,Partially cloudy
"Raleigh/Durham, NC",2019-10-26,Partially cloudy
"Phoenix, AZ",2019-05-23,"Rain, Partially cloudy"
"New York, NY",2019-03-10,"Rain, Partially cloudy"
"Sacramento, CA",2019-07-13,Clear
"St. Louis, MO",2019-12-05,Partially cloudy
"Oakland, CA",2019-08-11,Partially cloudy
"Minneapolis, MN",2019-05-30,Partially cloudy
"El Paso, TX",2019-03-13,Partially cloudy
"San Jose, CA",2019-11-24,Clear
"Oakland, CA",2018-03-02,"Rain, Overcast"
"Indianapolis, IN",2018-01-21,"Rain, Overcast"
"Manchester, NH",2019-12-06,"Snow, Partially cloudy"
"San Francisco, CA",2018-04-07,"Rain, Overcast"
"Nashville, TN",2019-12-19,Rain
"Green Bay, WI",2018-02-07,Partially cloudy
"Oakland, CA",2019-07-02,Partially cloudy
"Chicago, IL",2018-05-16,Partially cloudy
"Baltimore, MD",2019-10-07,"Rain, Partially cloudy"
"Atlanta, GA",2018-12-07,"Rain, Overcast"
"Chicago, IL",2019-06-08,Partially cloudy
"Savannah, GA",2018-12-25,Clear
"Seattle, WA",2018-01-22,"Rain, Overcast"
"Houston, TX",2019-08-04,"Rain, Partially cloudy"
"Tulsa, OK",2018-06-22,Partially cloudy
"Alexandria, LA",2018-08-10,Rain
"Miami, FL",2019-01-14,Partially cloudy
"Seattle, WA",2019-07-02,"Rain, Overcast"
"St. Louis, MO",2019-07-19,Clear
"Las Vegas, NV",2019-05-31,Clear
"Los Angeles, CA",2018-05-25,Partially cloudy
"Nashville, TN",2018-03-27,Overcast
"Phoenix, AZ",2018-09-24,Partially cloudy
"Indianapolis, IN",2018-08-05,Clear
"Denver, CO",2019-02-24,Clear
"Minneapolis, MN",2018-08-05,Partially cloudy
"Washington, DC",2018-03-18,Clear
"Charleston/Dunbar, WV",2018-08-31,Partially cloudy
"Minneapolis, MN",2018-02-07,"Snow, Partially cloudy"
"Baltimore, MD",2019-01-08,"Rain, Partially cloudy"
"Atlanta, GA",2018-11-18,Clear
"Norfolk, VA",2019-09-26,Partially cloudy
"Kansas City, MO",2018-11-17,Partially cloudy
"Helena, MT",2018-11-04,"Snow, Partially cloudy"
"Detroit, MI",2019-05-17,Partially cloudy
"Charlotte, NC",2018-02-04,"Rain, Overcast"
"Columbus, OH",2019-01-17,"Rain, Overcast"
"Tucson, AZ",2018-10-29,Clear
"Portland, OR",2019-05-12,Partially cloudy
"Charlotte, NC",2019-09-08,Clear
"Medford, OR",2019-08-15,Clear
"St. Petersburg, FL",2018-09-24,Rain
"Atlanta, GA",2019-08-04,"Rain, Partially cloudy"
"Fargo, ND",2018-08-26,"Rain, Partially cloudy"
"Atlanta, GA",2019-12-05,Clear
"Cincinnati, OH",2019-05-25,"Rain, Partially cloudy"
"Huntsville, AL",2019-11-06,Clear
"Norfolk, VA",2019-07-12,"Rain, Partially cloudy"
"Boise, ID",2018-10-25,Clear
"Chicago, IL",2019-03-18,Partially cloudy
"Chicago, IL",2018-10-23,Clear
"Denver, CO",2018-07-03,Partially cloudy
"Philadelphia, PA",2018-07-01,Partially cloudy
"Atlanta, GA",2019-05-18,Clear
"Louisville, KY",2019-06-17,"Rain, Partially cloudy"
"Chicago, IL",2018-12-12,Overcast
"New York, NY",2019-05-15,"Rain, Partially cloudy"
"Chicago, IL",2019-07-28,Partially cloudy
"Miami, FL",2019-12-05,Partially cloudy
"Detroit, MI",2018-05-25,Clear
"Islip, NY",2019-04-28,"Rain, Partially cloudy"
"San Francisco, CA",2019-12-30,Partially cloudy
